Purchase Key,Customer Key,Visit Key,Purchase Date,Purchase Product
198,131,448,2023-04-20,Rental
199,132,453,2023-08-22,Rental
200,133,454,2023-09-21,Rental
201,133,454,2023-09-17,Lesson
202,133,455,2023-01-17,Lesson
203,134,457,2023-03-04,Rental
204,134,457,2023-02-16,Lesson
205,135,464,2023-04-16,Lesson
206,136,466,2023-07-06,Rental
207,137,471,2023-11-14,Lesson
208,140,489,2023-10-26,Rental
209,141,491,2023-04-11,Rental
210,141,491,2023-03-24,Lesson
211,142,492,2023-02-26,Rental
212,142,494,2023-05-31,Rental
213,142,494,2023-05-29,Lesson
214,144,496,2023-09-06,Lesson
215,145,502,2023-01-17,Lesson
216,146,504,2023-03-23,Rental
217,146,505,2023-03-10,Rental
218,147,507,2023-08-22,Rental
219,147,507,2023-07-29,Lesson
220,148,508,2022-12-27,Rental
221,148,508,2022-12-18,Lesson
222,149,509,2023-03-11,Rental
223,150,510,2023-02-08,Rental
224,150,514,2023-05-06,Rental
225,150,516,2023-03-01,Lesson
226,150,517,2023-05-11,Lesson
227,150,520,2023-06-27,Rental
228,150,521,2023-04-03,Lesson
229,150,523,2023-10-12,Rental
230,151,525,2022-12-29,Rental
231,152,531,2023-01-14,Rental
232,152,532,2023-06-22,Rental
233,152,534,2023-04-18,Rental
234,152,539,2023-05-07,Rental
235,154,554,2023-07-27,Rental
236,155,555,2023-04-07,Rental
237,155,555,2023-03-21,Lesson
238,156,561,2023-09-03,Rental
239,157,563,2023-06-09,Rental
240,158,564,2023-10-18,Rental
241,158,564,2023-10-01,Lesson
242,159,565,2023-10-01,Rental
243,159,565,2023-10-11,Lesson
244,160,566,2023-01-22,Rental
245,160,567,2023-07-01,Rental
246,160,567,2023-07-07,Lesson
247,160,568,2023-03-14,Lesson
248,161,569,2023-06-20,Rental
249,161,569,2023-06-09,Lesson
250,162,572,2023-11-10,Rental
251,162,572,2023-11-05,Lesson
252,163,573,2023-09-01,Rental
253,164,577,2023-03-03,Lesson
254,164,580,2023-06-11,Lesson
255,165,582,2023-07-02,Rental
256,165,582,2023-07-09,Lesson
257,165,583,2023-06-14,Lesson
258,166,584,2023-10-23,Rental
259,166,585,2023-06-25,Rental
260,167,586,2023-11-10,Rental
261,167,588,2023-04-24,Rental
262,168,589,2023-12-02,Rental
263,169,591,2023-08-05,Rental
264,169,592,2023-11-15,Rental
265,169,593,2023-08-03,Rental
266,170,594,2023-10-16,Rental
267,171,595,2023-04-10,Rental
268,172,596,2023-08-18,Rental
269,172,596,2023-08-18,Lesson
270,174,601,2023-06-06,Lesson
271,174,603,2023-11-11,Lesson
272,174,605,2023-01-15,Lesson
273,175,606,2023-12-03,Rental
274,176,611,2023-05-04,Rental
275,177,620,2023-07-31,Lesson
276,177,625,2023-08-29,Rental
277,178,626,2023-06-08,Rental
278,178,626,2023-05-30,Lesson
279,179,627,2023-05-04,Rental
280,179,628,2023-12-14,Rental
281,179,629,2023-11-01,Lesson
282,180,631,2023-04-15,Rental
283,180,631,2023-04-05,Lesson
284,181,637,2023-08-16,Rental
285,182,641,2023-07-01,Rental
286,182,642,2023-10-31,Rental
287,182,643,2023-06-02,Lesson
288,183,645,2023-02-11,Rental
289,183,645,2023-02-18,Lesson
290,184,647,2023-06-15,Lesson
291,184,649,2023-09-18,Rental
292,185,650,2023-08-13,Rental
293,185,650,2023-07-24,Lesson
294,186,651,2023-11-25,Rental
295,187,652,2023-09-30,Rental
296,187,653,2023-09-09,Rental
297,188,654,2023-03-27,Rental
298,189,656,2023-10-31,Rental
299,190,659,2023-10-01,Rental
300,190,659,2023-09-14,Lesson
301,191,661,2023-10-03,Rental
302,191,661,2023-09-16,Lesson
303,192,662,2023-11-08,Rental
304,194,668,2023-04-25,Rental
305,195,679,2023-07-06,Lesson
306,196,685,2023-04-29,Rental
307,196,686,2023-09-13,Rental
308,196,686,2023-08-21,Lesson
309,197,687,2023-09-30,Lesson
310,198,688,2023-04-13,Rental
311,199,691,2023-07-13,Rental
312,200,694,2023-07-28,Rental
313,202,698,2023-05-07,Rental
314,202,698,2023-04-12,Lesson
315,203,699,2023-04-16,Rental
316,203,699,2023-04-06,Lesson
317,203,700,2023-09-01,Rental
318,204,702,2023-08-12,Rental
319,205,704,2023-12-19,Rental
320,205,704,2023-11-27,Lesson
321,206,705,2023-01-03,Lesson
322,208,710,2023-08-27,Rental
323,209,711,2023-04-03,Rental
324,209,713,2023-11-07,Lesson
325,209,721,2023-08-05,Lesson
326,209,722,2023-04-04,Rental
327,210,724,2023-12-01,Rental
328,210,724,2023-11-14,Lesson
329,211,729,2023-08-18,Rental
330,212,731,2023-01-09,Rental
331,212,731,2023-01-02,Lesson
332,213,733,2023-06-19,Rental
333,213,733,2023-06-04,Lesson
334,214,735,2023-02-14,Rental
335,215,736,2023-03-15,Rental
336,215,737,2023-05-22,Rental
337,215,738,2023-03-12,Rental
338,215,738,2023-03-07,Lesson
339,217,740,2023-10-06,Rental
340,218,741,2023-06-09,Rental
341,218,742,2023-03-01,Rental
342,218,742,2023-02-22,Lesson
343,219,743,2023-06-12,Rental
344,221,746,2022-12-23,Lesson
345,221,747,2023-10-15,Rental
346,222,748,2023-02-02,Rental
347,222,748,2023-01-31,Lesson
348,223,750,2023-04-04,Lesson
349,223,755,2023-03-04,Lesson
350,223,756,2023-02-05,Lesson
351,223,758,2023-08-14,Lesson
352,224,759,2023-07-24,Lesson
353,226,763,2023-08-13,Lesson
354,226,764,2023-10-11,Rental
355,226,764,2023-09-15,Lesson
356,227,766,2022-12-20,Rental
357,228,768,2023-02-12,Rental
358,228,768,2023-01-22,Lesson
359,229,769,2023-05-05,Lesson
360,229,772,2023-04-02,Lesson
361,229,773,2023-01-31,Lesson
362,230,779,2023-03-11,Rental
363,230,780,2023-02-26,Rental
364,231,783,2023-04-16,Rental
365,231,784,2023-12-17,Lesson
366,231,785,2023-05-12,Rental
367,231,787,2023-03-07,Lesson
368,231,788,2023-02-22,Rental
369,231,791,2023-10-29,Rental
370,231,791,2023-10-31,Lesson
371,232,793,2023-04-02,Rental
372,232,793,2023-03-16,Lesson
373,233,794,2023-05-20,Rental
374,234,795,2023-07-28,Lesson
375,234,796,2023-12-26,Lesson
376,234,797,2023-03-07,Rental
377,234,797,2023-02-21,Lesson
378,235,798,2023-10-16,Rental
379,236,799,2023-03-28,Rental
380,236,800,2023-06-19,Rental
381,237,801,2023-07-14,Rental
382,237,801,2023-07-05,Lesson
383,238,802,2023-04-16,Lesson
384,238,803,2023-06-18,Rental
385,239,810,2023-08-08,Lesson
386,239,811,2023-02-21,Lesson
387,239,814,2023-12-07,Rental
388,239,818,2023-03-18,Lesson
389,240,819,2023-10-18,Lesson
390,240,820,2023-01-22,Rental
391,240,820,2023-01-09,Lesson
392,242,827,2023-10-01,Rental
393,242,828,2023-08-03,Rental
394,242,828,2023-07-29,Lesson
395,243,831,2023-08-17,Rental
396,244,832,2023-08-14,Lesson
397,244,840,2023-01-24,Lesson
398,244,843,2023-09-22,Rental
399,244,843,2023-09-01,Lesson
400,245,848,2023-09-06,Rental
401,246,857,2023-02-18,Lesson
402,247,858,2023-09-26,Rental
403,247,858,2023-09-27,Lesson
404,248,860,2023-07-08,Rental
405,250,862,2023-09-29,Rental
406,250,863,2023-01-21,Lesson
407,250,864,2023-07-03,Rental
408,251,865,2023-03-31,Rental
409,251,866,2023-03-07,Rental
410,251,866,2023-03-19,Lesson
411,252,867,2023-07-06,Rental
412,252,875,2023-03-24,Lesson
413,252,876,2023-03-15,Lesson
414,253,879,2023-02-16,Rental
415,253,885,2023-05-18,Lesson
416,254,888,2023-04-29,Rental
417,254,890,2023-06-24,Lesson
418,255,891,2023-05-07,Rental
419,256,895,2023-05-31,Rental
420,256,899,2023-10-22,Lesson
421,256,900,2023-05-22,Rental
422,256,903,2023-11-17,Lesson
423,258,906,2023-11-08,Lesson
424,258,908,2023-12-12,Rental
425,259,909,2023-11-12,Rental
426,260,910,2023-10-03,Lesson
427,261,922,2023-08-18,Lesson
428,261,923,2023-07-25,Rental
429,262,926,2023-02-21,Rental
430,263,927,2023-11-11,Rental
431,263,927,2023-11-07,Lesson
432,263,928,2023-06-01,Rental
433,264,930,2023-12-07,Rental
434,265,936,2023-06-23,Rental
435,265,936,2023-06-07,Lesson
436,266,942,2023-04-07,Lesson
437,266,944,2023-11-26,Rental
438,266,945,2023-11-09,Rental
439,266,949,2023-07-07,Rental
440,267,950,2023-05-29,Rental
441,268,951,2023-03-10,Rental
442,269,953,2023-11-10,Rental
443,270,954,2023-07-06,Rental
444,271,955,2023-10-13,Rental
445,272,957,2023-06-07,Rental
446,274,959,2022-12-31,Rental
447,274,959,2023-01-08,Lesson
448,274,960,2023-09-04,Rental
449,274,961,2023-11-09,Rental
450,275,962,2023-12-08,Rental
451,275,962,2023-11-23,Lesson
452,276,963,2023-03-24,Lesson
453,276,967,2023-03-29,Lesson
454,276,969,2023-08-02,Rental
455,277,971,2023-09-18,Rental
456,278,972,2023-07-15,Rental
457,279,976,2023-05-27,Lesson
458,279,979,2023-02-18,Rental
459,279,980,2023-03-06,Lesson
460,281,984,2023-01-03,Rental
461,282,987,2023-02-27,Lesson
462,283,989,2023-09-13,Lesson
463,284,992,2023-09-23,Lesson
464,284,993,2023-11-05,Rental
465,285,994,2023-09-08,Rental
466,285,994,2023-09-07,Lesson
467,286,996,2023-10-02,Lesson
468,286,998,2023-01-11,Lesson
469,287,1002,2023-03-16,Rental
470,287,1003,2023-02-18,Rental
471,288,1004,2023-01-28,Rental
472,289,1006,2023-12-10,Rental
473,290,1008,2023-04-10,Rental
474,291,1010,2023-02-13,Rental
475,292,1013,2023-04-18,Rental
476,293,1014,2023-04-12,Rental
477,293,1014,2023-04-19,Lesson
478,294,1016,2023-10-11,Rental
479,294,1017,2023-09-22,Rental
480,294,1017,2023-09-09,Lesson
481,295,1018,2023-01-07,Rental
482,295,1020,2023-04-23,Lesson
483,296,1022,2023-07-24,Lesson
484,297,1025,2023-10-25,Lesson
485,297,1027,2023-07-24,Rental
486,297,1034,2023-05-24,Rental
487,297,1035,2023-08-18,Rental
488,298,1037,2023-11-11,Rental
489,299,1038,2023-08-20,Rental
490,300,1041,2023-07-25,Rental
491,300,1042,2023-06-17,Rental
492,301,1044,2023-02-02,Rental
493,301,1045,2023-10-11,Rental
494,301,1046,2023-10-15,Rental
495,302,1047,2022-12-22,Lesson
496,303,1049,2023-11-14,Rental
497,304,1050,2023-09-02,Rental
498,305,1051,2023-07-28,Rental
499,305,1051,2023-07-19,Lesson
500,306,1058,2023-07-06,Rental
501,306,1059,2023-11-15,Lesson
502,308,1064,2023-02-11,Lesson
503,309,1071,2023-05-13,Rental
504,310,1073,2023-01-10,Rental
505,311,1074,2023-08-02,Rental
506,311,1075,2023-03-18,Rental
507,313,1087,2023-08-13,Lesson
508,314,1098,2023-01-14,Rental
509,315,1099,2023-01-09,Rental
510,316,1100,2023-04-17,Lesson
511,318,1103,2023-11-07,Rental
512,318,1104,2023-06-12,Rental
513,319,1107,2023-04-18,Rental
514,319,1108,2023-08-14,Lesson
515,319,1110,2023-03-13,Lesson
516,319,1113,2023-02-02,Rental
517,319,1115,2023-01-11,Rental
518,320,1117,2023-03-01,Rental
519,320,1117,2023-02-19,Lesson
520,321,1118,2023-01-17,Rental
521,322,1121,2023-11-26,Rental
522,322,1121,2023-10-31,Lesson
523,324,1123,2023-11-30,Rental
524,325,1125,2023-09-01,Rental
525,326,1127,2023-10-28,Lesson
526,326,1129,2023-04-24,Rental
527,326,1129,2023-04-10,Lesson
528,326,1131,2022-12-19,Lesson
529,327,1136,2023-07-11,Rental
530,327,1137,2023-08-11,Rental
531,328,1138,2023-07-07,Rental
532,328,1138,2023-06-30,Lesson
533,329,1139,2023-11-01,Rental
534,331,1141,2023-07-05,Rental
535,331,1142,2023-10-31,Rental
536,331,1142,2023-10-28,Lesson
537,332,1143,2023-09-20,Rental
538,332,1144,2023-07-29,Rental
539,333,1145,2023-04-10,Rental
540,333,1145,2023-03-16,Lesson
541,334,1157,2023-03-17,Lesson
542,334,1158,2023-06-30,Rental
543,335,1160,2023-12-15,Rental
544,335,1161,2023-01-16,Rental
545,336,1162,2023-01-07,Rental
546,338,1174,2023-03-08,Rental
547,338,1174,2023-02-26,Lesson
548,339,1175,2023-09-08,Rental
549,339,1175,2023-09-12,Lesson
550,339,1178,2023-11-11,Lesson
551,339,1180,2023-12-11,Lesson
552,340,1181,2023-07-23,Rental
553,340,1181,2023-07-13,Lesson
554,341,1182,2023-07-12,Rental
555,341,1182,2023-06-30,Lesson
556,342,1183,2023-07-14,Lesson
557,342,1192,2023-02-12,Rental
558,343,1196,2023-03-04,Rental
559,343,1196,2023-02-04,Lesson
560,343,1197,2023-10-24,Lesson
561,343,1199,2023-05-23,Rental
562,344,1202,2023-09-05,Rental
563,345,1204,2023-06-01,Rental
564,345,1205,2023-05-21,Rental
565,346,1207,2023-09-17,Rental
566,347,1209,2023-05-03,Rental
567,348,1214,2023-09-14,Rental
568,348,1214,2023-09-03,Lesson
569,349,1222,2023-10-23,Lesson
570,350,1226,2023-05-23,Rental
571,350,1227,2023-03-05,Rental
572,351,1229,2023-06-15,Rental
573,352,1231,2023-01-20,Rental
574,353,1232,2023-11-21,Rental
575,353,1233,2023-01-09,Rental
576,354,1242,2023-11-18,Lesson
577,354,1243,2023-08-02,Rental
578,354,1247,2023-03-11,Rental
579,355,1249,2023-09-08,Rental
580,355,1250,2023-04-22,Rental
581,357,1257,2023-09-07,Rental
582,357,1257,2023-09-18,Lesson
583,358,1258,2023-10-29,Rental
584,358,1259,2023-05-25,Lesson
585,358,1260,2023-02-18,Rental
586,359,1264,2023-06-18,Lesson
587,360,1268,2023-10-25,Rental
588,361,1270,2023-11-29,Rental
589,361,1271,2023-04-13,Rental
590,363,1280,2023-11-02,Rental
591,363,1282,2023-01-01,Lesson
592,363,1283,2023-10-15,Lesson
593,363,1285,2023-02-17,Lesson
594,364,1289,2023-03-26,Rental
595,365,1292,2023-08-15,Rental
596,366,1301,2023-09-12,Lesson
597,367,1306,2023-05-04,Rental
598,368,1307,2023-06-16,Lesson
599,369,1309,2023-08-07,Rental
600,370,1320,2023-07-29,Rental
601,370,1320,2023-07-09,Lesson
602,371,1324,2023-05-30,Rental
603,372,1328,2023-04-18,Rental
604,372,1328,2023-04-13,Lesson
605,373,1329,2023-01-12,Rental
606,374,1330,2023-10-13,Rental
607,375,1332,2023-06-11,Rental
608,376,1333,2023-01-21,Rental
609,377,1335,2023-07-08,Rental
610,377,1335,2023-07-09,Lesson
611,378,1336,2023-05-01,Rental
612,378,1337,2023-01-19,Rental
613,379,1338,2023-08-17,Rental
614,379,1338,2023-08-04,Lesson
615,380,1339,2023-07-15,Rental
616,380,1339,2023-07-16,Lesson
617,382,1342,2023-09-25,Rental
618,382,1342,2023-09-16,Lesson
619,383,1345,2023-11-13,Rental
620,384,1357,2023-01-12,Lesson
621,385,1361,2023-06-29,Rental
622,386,1364,2023-09-07,Lesson
623,387,1374,2023-11-29,Lesson
624,389,1376,2023-03-12,Lesson
625,389,1378,2023-05-24,Lesson
626,389,1379,2023-07-17,Rental
627,389,1380,2023-11-21,Rental
628,389,1381,2023-06-11,Lesson
629,390,1385,2023-03-11,Lesson
630,392,1389,2023-09-06,Rental
631,393,1392,2023-02-17,Rental
632,394,1393,2023-08-14,Rental
633,394,1393,2023-08-04,Lesson
634,395,1394,2023-02-12,Rental
635,395,1396,2023-10-22,Rental
636,396,1398,2023-04-04,Lesson
637,397,1401,2023-05-25,Rental
638,397,1401,2023-05-28,Lesson
639,398,1402,2023-12-01,Rental
640,398,1406,2023-03-10,Lesson
641,399,1414,2023-01-03,Rental
642,400,1415,2023-09-26,Rental
643,401,1416,2023-01-08,Rental
644,401,1420,2023-01-27,Rental
645,402,1423,2023-11-18,Rental
646,403,1425,2023-04-12,Rental
647,404,1426,2023-12-11,Rental
648,404,1426,2023-11-23,Lesson
649,405,1427,2023-11-29,Rental
650,406,1428,2023-08-13,Rental
651,406,1429,2023-02-19,Rental
652,406,1429,2023-03-01,Lesson
653,407,1430,2023-05-13,Rental
654,408,1431,2023-12-10,Rental
655,408,1433,2023-04-29,Rental
656,408,1438,2023-01-21,Lesson
657,408,1439,2023-10-15,Rental
658,409,1440,2023-09-13,Rental
659,409,1441,2023-08-21,Rental
660,409,1446,2023-06-01,Lesson
661,409,1447,2023-08-09,Rental
662,409,1448,2023-02-28,Lesson
663,410,1458,2023-11-11,Rental
664,411,1464,2023-08-24,Rental
665,411,1464,2023-08-10,Lesson
666,412,1465,2023-10-30,Rental
667,412,1466,2023-09-28,Rental
668,414,1468,2023-06-28,Rental
669,415,1469,2023-09-25,Rental
670,416,1470,2023-12-06,Rental
671,416,1470,2023-11-24,Lesson
672,417,1472,2023-06-11,Lesson
673,417,1476,2023-07-17,Rental
674,417,1483,2023-11-06,Lesson
675,417,1484,2023-07-28,Rental
676,417,1484,2023-07-19,Lesson
677,418,1486,2023-08-04,Lesson
678,419,1487,2023-05-02,Rental
679,419,1487,2023-04-19,Lesson
680,421,1499,2023-09-24,Lesson
681,422,1501,2023-08-09,Rental
682,422,1501,2023-07-27,Lesson
683,423,1503,2023-01-15,Lesson
684,424,1504,2023-05-22,Rental
685,425,1505,2023-07-24,Lesson
686,425,1506,2023-08-28,Lesson
687,426,1517,2023-11-30,Rental
688,426,1517,2023-12-09,Lesson
689,427,1518,2023-09-20,Rental
690,428,1520,2023-07-03,Rental
691,429,1521,2023-10-26,Rental
692,430,1522,2023-02-13,Rental
693,430,1522,2023-02-16,Lesson
694,431,1523,2023-12-13,Rental
695,432,1524,2023-05-15,Rental
696,432,1524,2023-04-28,Lesson
697,433,1525,2023-05-08,Rental
698,433,1526,2023-06-12,Rental
699,434,1527,2023-08-07,Rental
700,435,1529,2023-05-05,Rental
701,436,1531,2023-12-03,Lesson
702,437,1534,2023-10-13,Rental
703,438,1540,2023-10-27,Lesson
704,439,1543,2023-05-17,Rental
705,439,1544,2023-06-10,Rental
706,440,1547,2022-12-26,Rental
707,440,1552,2023-06-13,Lesson
708,441,1554,2023-09-26,Lesson
709,442,1555,2023-03-31,Rental
710,442,1555,2023-03-23,Lesson
711,443,1556,2023-09-20,Rental
712,444,1558,2023-04-24,Rental
713,444,1560,2023-03-14,Lesson
714,445,1561,2023-07-12,Rental
715,445,1562,2023-11-07,Rental
716,445,1563,2023-09-23,Rental
717,446,1564,2023-08-14,Rental
718,448,1578,2023-04-24,Rental
719,448,1581,2023-09-02,Rental
720,449,1583,2023-01-31,Rental
721,450,1586,2023-06-08,Rental
722,451,1588,2023-09-06,Rental
723,451,1588,2023-09-13,Lesson
724,452,1589,2023-07-29,Rental
725,452,1589,2023-07-21,Lesson
726,453,1590,2023-05-26,Lesson
727,454,1592,2023-05-27,Rental
728,456,1603,2023-10-29,Rental
729,457,1604,2023-08-05,Lesson
730,458,1605,2023-05-27,Rental
731,458,1606,2023-11-23,Rental
732,459,1607,2023-07-04,Rental
733,459,1607,2023-07-01,Lesson
734,460,1608,2023-09-10,Rental
735,460,1608,2023-08-27,Lesson
736,461,1614,2023-04-20,Rental
737,462,1616,2023-07-19,Rental
738,462,1618,2023-02-16,Rental
739,463,1626,2023-09-05,Lesson
740,463,1627,2023-03-04,Lesson
741,464,1634,2023-11-21,Lesson
742,465,1638,2023-03-23,Rental
743,465,1638,2023-03-21,Lesson
744,466,1639,2023-06-15,Rental
745,466,1639,2023-06-07,Lesson
746,467,1640,2023-03-21,Rental
747,467,1645,2023-12-09,Lesson
748,469,1654,2023-10-10,Lesson
749,469,1655,2023-06-17,Lesson
750,471,1659,2023-08-06,Rental
751,472,1661,2023-05-28,Rental
752,472,1661,2023-06-05,Lesson
753,473,1662,2023-07-05,Rental
754,473,1662,2023-07-04,Lesson
755,473,1663,2023-04-12,Rental
756,474,1670,2023-12-22,Lesson
757,475,1674,2023-01-31,Rental
758,475,1675,2023-04-30,Rental
759,476,1676,2023-05-05,Rental
760,476,1676,2023-04-18,Lesson
761,477,1677,2023-09-30,Lesson
762,478,1678,2023-05-28,Rental
763,478,1678,2023-05-28,Lesson
764,479,1679,2023-02-17,Rental
765,480,1685,2023-03-21,Rental
766,480,1691,2023-02-04,Lesson
767,480,1692,2023-01-19,Rental
768,481,1694,2023-08-04,Rental
769,482,1695,2023-04-10,Rental
770,483,1696,2023-01-30,Rental
771,485,1699,2023-03-15,Lesson
772,486,1701,2023-01-08,Rental
773,487,1702,2023-08-03,Rental
774,488,1703,2023-10-16,Rental
775,488,1703,2023-10-01,Lesson
776,489,1704,2023-11-25,Rental
777,489,1706,2023-03-07,Rental
778,492,1713,2023-07-27,Rental
779,492,1714,2022-12-29,Rental
780,492,1714,2022-12-17,Lesson
781,492,1715,2023-02-17,Rental
782,493,1716,2023-10-02,Rental
783,494,1719,2023-07-14,Rental
784,495,1720,2023-10-23,Rental
